part,job,operation,machine,event,time,queue_length,queue_ops,run_meta,delay
P31,J31,O311,M1,queued,10.0,1.0,O311,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P7,J7,O071,M1,queued,10.0,2.0,"O311,O071","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P31,J31,O311,M1,start,10.0,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P1,J1,O011,M1,queued,10.0,2.0,"O071,O011","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P3,J3,O031,M1,queued,10.0,3.0,"O071,O011,O031","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P15,J15,O151,M1,queued,10.0,4.0,"O071,O011,O031,O151","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P26,J26,O261,GEN->M2,delivery,19.099999999999994,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P9,J9,O091,GEN->M4,delivery,19.099999999999994,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P32,J32,O321,GEN->M2,delivery,19.099999999999994,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P30,J30,O301,GEN->M2,delivery,19.099999999999994,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P10,J10,O101,GEN->M2,delivery,19.099999999999994,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P9,J9,O091,M4,queued,28.099999999999994,1.0,O091,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P26,J26,O261,M2,queued,28.099999999999994,1.0,O261,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P9,J9,O091,M4,start,28.099999999999994,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P26,J26,O261,M2,start,28.099999999999994,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P32,J32,O321,M2,queued,28.099999999999994,1.0,O321,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P30,J30,O301,M2,queued,28.099999999999994,2.0,"O321,O301","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P10,J10,O101,M2,queued,28.099999999999994,3.0,"O321,O301,O101","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P31,J31,O311,M1,end,36.0,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P7,J7,O071,M1,start,36.0,3.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P13,J13,O131,GEN->M4,delivery,36.10000000000001,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P23,J23,O231,GEN->M5,delivery,36.10000000000001,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",9.0
