part,job,operation,machine,event,time,queue_length,queue_ops,run_meta,delay
P31,J31,O311,M1,queued,10.0,1.0,O311,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P7,J7,O071,M1,queued,10.0,2.0,"O311,O071","{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P31,J31,O311,M1,start,10.0,1.0,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P1,J1,O011,M1,queued,10.0,2.0,"O071,O011","{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P3,J3,O031,M1,queued,10.0,3.0,"O071,O011,O031","{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P15,J15,O151,M1,queued,10.0,4.0,"O071,O011,O031,O151","{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P26,J26,O261,GEN->M2,delivery,19.099999999999994,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",8.0
P9,J9,O091,GEN->M4,delivery,19.099999999999994,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",8.0
P32,J32,O321,GEN->M2,delivery,19.099999999999994,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",8.0
P30,J30,O301,GEN->M2,delivery,19.099999999999994,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",8.0
P10,J10,O101,GEN->M2,delivery,19.099999999999994,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",8.0
P9,J9,O091,M4,queued,28.099999999999994,1.0,O091,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P26,J26,O261,M2,queued,28.099999999999994,1.0,O261,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P9,J9,O091,M4,start,28.099999999999994,0.0,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P26,J26,O261,M2,start,28.099999999999994,0.0,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P32,J32,O321,M2,queued,28.099999999999994,1.0,O321,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P30,J30,O301,M2,queued,28.099999999999994,2.0,"O321,O301","{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P10,J10,O101,M2,queued,28.099999999999994,3.0,"O321,O301,O101","{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P31,J31,O311,M1,end,36.0,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P7,J7,O071,M1,start,36.0,3.0,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P13,J13,O131,GEN->M4,delivery,36.10000000000001,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",8.0
P23,J23,O231,GEN->M5,delivery,36.10000000000001,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",9.0
P5,J5,O051,GEN->M5,delivery,36.10000000000001,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",9.0
P36,J36,O361,GEN->M5,delivery,36.10000000000001,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",9.0
P24,J24,O241,GEN->M5,delivery,36.10000000000001,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",9.0
P13,J13,O131,M4,queued,45.10000000000001,1.0,O131,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P5,J5,O051,M5,queued,46.10000000000001,1.0,O051,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P23,J23,O231,M5,queued,46.10000000000001,2.0,"O051,O231","{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P5,J5,O051,M5,start,46.10000000000001,1.0,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P24,J24,O241,M5,queued,46.10000000000001,2.0,"O231,O241","{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P36,J36,O361,M5,queued,46.10000000000001,3.0,"O231,O241,O361","{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P31,J31,O312,M1->M4,delivery,52.10000000000002,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",6.0
P20,J20,O201,GEN->M7,delivery,53.10000000000002,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",6.0
P6,J6,O061,GEN->M5,delivery,55.10000000000002,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",9.0
P22,J22,O221,GEN->M7,delivery,55.10000000000002,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",6.0
P19,J19,O191,GEN->M7,delivery,55.10000000000004,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",6.0
P26,J26,O261,M2,end,58.099999999999994,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P32,J32,O321,M2,start,58.099999999999994,2.0,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P9,J9,O091,M4,end,59.099999999999994,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P13,J13,O131,M4,start,59.099999999999994,0.0,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P31,J31,O312,M4,queued,59.10000000000002,1.0,O312,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P20,J20,O201,M7,queued,60.10000000000002,1.0,O201,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P20,J20,O201,M7,start,60.10000000000002,0.0,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P7,J7,O071,M1,end,62.0,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P1,J1,O011,M1,start,62.0,2.0,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P22,J22,O221,M7,queued,62.10000000000002,1.0,O221,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P19,J19,O191,M7,queued,62.10000000000004,2.0,"O221,O191","{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P6,J6,O061,M5,queued,65.10000000000002,4.0,"O231,O241,O361,O061","{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",
P2,J2,O021,GEN->M4,delivery,66.10000000000005,,,"{'release_time': 1e-06, 'n_max': 30, 'total_ops': 154}",8.0
